State	'integer'	'char'	'boolean'	'string'	'type'	'='	'array'	'['	']'	'of'	'struct'	'{'	'}'	';'	':'	'function'	'('	')'	','	'var'	'if'	'else'	'while'	'do'	'break'	'continue'	'&&'	'||'	'<'	'>'	'<='	'>='	'=='	'!='	'+'	'-'	'*'	'/'	'++'	'--'	'!'	'.'	Id	'true'	'false'	c	s	n	$	P'	P	LDE	DE	T	DT	DC	DF	LP	B	LDV	LS	DV	LI	S	U	M	E	L	R	Y	F	LE	LV	ID	TRUE	FALSE	CHR	STR	NUM
113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	141	85	86	87	 	88	92	95	96	97	98	99
114	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	142	86	87	 	88	92	95	96	97	98	99
115	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	143	86	87	 	88	92	95	96	97	98	99
116	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	144	86	87	 	88	92	95	96	97	98	99
117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	145	86	87	 	88	92	95	96	97	98	99
118	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	146	86	87	 	88	92	95	96	97	98	99
119	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	147	86	87	 	88	92	95	96	97	98	99
120	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	148	87	 	88	92	95	96	97	98	99
121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	149	87	 	88	92	95	96	97	98	99
122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	150	 	88	92	95	96	97	98	99
123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	151	 	88	92	95	96	97	98	99
124	 	 	 	 	 	 	 	 	r57	 	 	 	 	r57	 	 	 	r57	r57	 	 	 	 	 	 	 	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
125	 	 	 	 	 	 	 	 	r58	 	 	 	 	r58	 	 	 	r58	r58	 	 	 	 	 	 	 	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
126	 	 	 	 	 	 	 	s79	r55	 	 	 	 	r55	 	 	 	r55	r55	 	 	 	 	 	 	 	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	 	 	 	s78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
127	 	 	 	 	 	 	 	s79	r56	 	 	 	 	r56	 	 	 	r56	r56	 	 	 	 	 	 	 	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	 	 	 	s78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
128	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s152	 	 	 	 	 	 	 	 	s112	s113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
129	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	154	84	85	86	87	153	88	92	95	96	97	98	99
130	 	 	 	 	 	 	 	 	r61	 	 	 	 	r61	 	 	 	r61	r61	 	 	 	 	 	 	 	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
131	 	 	 	 	 	 	 	 	r62	 	 	 	 	r62	 	 	 	r62	r62	 	 	 	 	 	 	 	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
132	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	s76	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	 	 	155	 	 	 	 	 	 	65	68	 	 	 	 	 
133	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	156	84	85	86	87	 	88	92	95	96	97	98	99
134	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s157	 	 	 	 	 	 	 	 	s112	s113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
135	 	 	 	 	 	 	 	 	 	 	 	r35	r35	 	 	 	 	 	 	 	r35	r35	r35	r35	r35	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
136	 	 	 	 	 	r71	 	r71	r71	 	 	 	 	r71	 	 	 	r71	r71	 	 	 	 	 	 	 	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	 	r71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
137	 	 	 	 	 	 	 	 	 	 	 	r24	 	 	 	 	 	 	 	r24	r24	 	r24	r24	r24	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138	 	 	 	 	 	 	 	 	 	 	 	r27	r27	 	 	 	 	 	 	 	r27	s158	r27	r27	r27	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
139	 	 	 	 	 	 	 	 	 	 	 	r29	r29	 	 	 	 	 	 	 	r29	 	r29	r29	r29	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
140	 	 	 	 	 	 	 	 	r38	 	 	 	 	r38	 	 	 	r38	r38	 	 	 	 	 	 	 	r38	r38	s114	s115	s116	s117	s118	s119	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
141	 	 	 	 	 	 	 	 	r39	 	 	 	 	r39	 	 	 	r39	r39	 	 	 	 	 	 	 	r39	r39	s114	s115	s116	s117	s118	s119	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
142	 	 	 	 	 	 	 	 	r41	 	 	 	 	r41	 	 	 	r41	r41	 	 	 	 	 	 	 	r41	r41	r41	r41	r41	r41	r41	r41	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
143	 	 	 	 	 	 	 	 	r42	 	 	 	 	r42	 	 	 	r42	r42	 	 	 	 	 	 	 	r42	r42	r42	r42	r42	r42	r42	r42	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
144	 	 	 	 	 	 	 	 	r43	 	 	 	 	r43	 	 	 	r43	r43	 	 	 	 	 	 	 	r43	r43	r43	r43	r43	r43	r43	r43	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
145	 	 	 	 	 	 	 	 	r44	 	 	 	 	r44	 	 	 	r44	r44	 	 	 	 	 	 	 	r44	r44	r44	r44	r44	r44	r44	r44	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
146	 	 	 	 	 	 	 	 	r45	 	 	 	 	r45	 	 	 	r45	r45	 	 	 	 	 	 	 	r45	r45	r45	r45	r45	r45	r45	r45	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
147	 	 	 	 	 	 	 	 	r46	 	 	 	 	r46	 	 	 	r46	r46	 	 	 	 	 	 	 	r46	r46	r46	r46	r46	r46	r46	r46	s120	s121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
148	 	 	 	 	 	 	 	 	r48	 	 	 	 	r48	 	 	 	r48	r48	 	 	 	 	 	 	 	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	s122	s123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
149	 	 	 	 	 	 	 	 	r49	 	 	 	 	r49	 	 	 	r49	r49	 	 	 	 	 	 	 	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	s122	s123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
150	 	 	 	 	 	 	 	 	r51	 	 	 	 	r51	 	 	 	r51	r51	 	 	 	 	 	 	 	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
151	 	 	 	 	 	 	 	 	r52	 	 	 	 	r52	 	 	 	r52	r52	 	 	 	 	 	 	 	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
152	 	 	 	 	 	 	 	 	r59	 	 	 	 	r59	 	 	 	r59	r59	 	 	 	 	 	 	 	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
153	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s159	s160	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
154	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r69	r69	 	 	 	 	 	 	 	s112	s113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
155	 	 	 	 	 	 	 	 	 	 	 	r32	r32	 	 	 	 	 	 	 	r32	r32	r32	r32	r32	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
156	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s161	 	 	 	 	 	 	 	 	s112	s113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
157	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	s76	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	 	 	162	 	 	 	 	 	 	65	68	 	 	 	 	 
158	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	s61	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	 	164	163	 	 	 	 	 	 	65	68	 	 	 	 	 
159	 	 	 	 	 	 	 	 	r60	 	 	 	 	r60	 	 	 	r60	r60	 	 	 	 	 	 	 	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
160	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	165	84	85	86	87	 	88	92	95	96	97	98	99
161	 	 	 	 	 	 	 	 	 	 	 	 	 	s166	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
162	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s167	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
163	 	 	 	 	 	 	 	 	 	 	 	r31	r31	 	 	 	 	 	 	 	r31	r31	r31	r31	r31	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
164	 	 	 	 	 	 	 	 	 	 	 	r30	r30	 	 	 	 	 	 	 	r30	 	r30	r30	r30	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
165	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r68	r68	 	 	 	 	 	 	 	s112	s113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
166	 	 	 	 	 	 	 	 	 	 	 	r33	r33	 	 	 	 	 	 	 	r33	r33	r33	r33	r33	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
167	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	s76	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	 	 	163	 	 	 	 	 	 	65	68	 	 	 	 	 
